Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: Age-standardized (Rate),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes","Indicator:Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) - Sex:Both sexes_x"
MLI,2012,2860,58.26,5.9,25.4
MLI,2013,2890,58.71,6.2,26
MLI,2014,2833,59.28,6.5,26.7
MLI,2015,2832,60.5,6.8,27.4
MLI,2016,2846,61.85,7.1,28.1
MLT,1990,3020,61.01,19.9,55.7
MLT,1991,3160,60.04,20.4,56.2
MLT,1992,3129,59.5,20.9,56.6
MLT,1993,3125,58.36,21.3,57.1
MLT,1994,3163,57,21.8,57.5
MLT,1995,3276,56.66,22.2,58
MLT,1996,3293,56.49,22.6,58.4
MLT,1997,3302,56.55,23,58.9
MLT,1998,3350,55.86,23.4,59.3
MLT,1999,3374,56.09,23.8,59.8
MLT,2000,3331,55.84,24.3,60.3
MLT,2001,3342,55.63,24.7,60.7
MLT,2002,3343,55.56,25.2,61.2
MLT,2003,3369,55.04,25.6,61.6
MLT,2004,3372,53.53,26.1,62
MLT,2005,3369,51.57,26.5,62.4
MLT,2006,3368,49.87,27,62.8
MLT,2007,3370,48.59,27.4,63.2
MLT,2008,3371,47.38,27.9,63.6
MLT,2009,3379,45.9,28.3,64
MLT,2010,3387,44.26,28.7,64.4
MLT,2011,3374,43.53,29.1,64.7
MLT,2012,3381,42.61,29.5,65.1
MLT,2013,3378,41.47,29.9,65.4
MLT,2014,3415,40.54,30.3,65.7
MLT,2015,3425,39.26,30.6,66.1
MLT,2016,3382,38.97,31,66.4
MHL,1990,,133.86,33.7,72
MHL,1991,,140.36,34.6,72.6
MHL,1992,,147.03,35.5,73.2
MHL,1993,,151.63,36.4,73.8
MHL,1994,,149.32,37.3,74.4
MHL,1995,,154.88,38.1,74.9
MHL,1996,,158.86,39,75.4
MHL,1997,,163.53,39.8,75.9
MHL,1998,,167.2,40.5,76.4
MHL,1999,,171.17,41.3,76.9
MHL,2000,,175.15,42,77.4
MHL,2001,,179.45,42.7,77.8
MHL,2002,,184.04,43.4,78.2
MHL,2003,,188.21,44.1,78.7
MHL,2004,,191.56,44.8,79.1
MHL,2005,,193.6,45.5,79.5
MHL,2006,,194.63,46.2,79.9
MHL,2007,,192.87,46.9,80.3
MHL,2008,,190.91,47.6,80.7
MHL,2009,,188.98,48.2,81
MHL,2010,,187.43,48.9,81.4
MHL,2011,,186.92,49.5,81.8
MHL,2012,,186.62,50.1,82.1
MHL,2013,,186.69,50.7,82.5
MHL,2014,,187.08,51.3,82.8
MHL,2015,,187.66,51.8,83.1
MHL,2016,,188.79,52.4,83.5
MRT,1990,2497,87.81,3.3,17.8
MRT,1991,2518,88.83,3.5,18.4
MRT,1992,2539,90.47,3.7,19.1
MRT,1993,2602,91.67,3.9,19.7
MRT,1994,2530,90.67,4.2,20.3
MRT,1995,2575,89.94,4.4,20.9
MRT,1996,2603,90.6,4.6,21.6
MRT,1997,2622,90.68,4.9,22.2
MRT,1998,2655,91.44,5.1,22.8
MRT,1999,2637,90.2,5.4,23.4
MRT,2000,2632,91.09,5.7,24.1
MRT,2001,2625,92.04,6,24.7
MRT,2002,2638,91.99,6.2,25.3
MRT,2003,2712,90.74,6.6,26
MRT,2004,2599,91.84,6.9,26.6
MRT,2005,2629,91.38,7.2,27.3
MRT,2006,2603,92.37,7.5,27.9
MRT,2007,2726,90.85,7.9,28.6
MRT,2008,2772,90.12,8.2,29.2
MRT,2009,2762,92.34,8.6,29.9
MRT,2010,2797,91.78,8.9,30.5
MRT,2011,2806,92.12,9.3,31.1
MRT,2012,2873,93.82,9.7,31.8
MRT,2013,2876,93.94,10.1,32.4
MRT,2014,2882,91.51,10.5,33.1
MRT,2015,2878,91.68,10.9,33.7
MRT,2016,2850,90.16,11.3,34.4
MUS,1990,2785,102.12,4.4,22
MUS,1991,2789,100.59,4.6,22.5
MUS,1992,2814,103.65,4.8,22.9
MUS,1993,2790,105.75,5,23.3
MUS,1994,2834,106.22,5.2,23.7
MUS,1995,2895,105.42,5.4,24.1
MUS,1996,2871,105.66,5.6,24.5
MUS,1997,2828,109.59,5.8,24.9
MUS,1998,2861,106.43,6.1,25.2
MUS,1999,2862,108.29,6.3,25.6
MUS,2000,2904,110.01,6.6,26
MUS,2001,2954,111.7,6.8,26.4
MUS,2002,2953,115.07,7.1,26.7
MUS,2003,2958,119.22,7.4,27.1
MUS,2004,3023,120.29,7.6,27.5
MUS,2005,3009,127.29,7.9,27.9
MUS,2006,3022,129.97,8.2,28.2
MUS,2007,3076,128.65,8.5,28.6
MUS,2008,3001,132.83,8.8,29
MUS,2009,3124,134.65,9.1,29.4
MUS,2010,3151,133.25,9.5,29.8
MUS,2011,3058,129.84,9.8,30.2
MUS,2012,3014,130.01,10.1,30.6
MUS,2013,3065,126.33,10.4,31
MUS,2014,3040,127.36,10.8,31.4
MUS,2015,3044,126.18,11.1,31.9
MUS,2016,3008,126.71,11.5,32.3
MEX,1990,2969,88.79,14,49
MEX,1991,2989,88.23,14.5,49.7
MEX,1992,3000,88.85,14.9,50.5
MEX,1993,3008,89.97,15.4,51.2
MEX,1994,3005,90.52,15.9,51.9
MEX,1995,2967,92.47,16.4,52.6
MEX,1996,2991,93.05,16.9,53.3
MEX,1997,2967,94.3,17.5,53.9
MEX,1998,2971,95.06,18,54.6
MEX,1999,2982,95.03,18.5,55.2
MEX,2000,3037,93.96,19.1,55.9
MEX,2001,3085,94.12,19.7,56.5
MEX,2002,3103,96.59,20.2,57.1
MEX,2003,3109,98.52,20.8,57.7
MEX,2004,3105,97.45,21.4,58.3
MEX,2005,3065,99.34,22,58.9
MEX,2006,3079,97.48,22.6,59.5
MEX,2007,3101,96.66,23.1,60.1
MEX,2008,3079,100.06,23.7,60.6
MEX,2009,3043,102.36,24.3,61.2
MEX,2010,3041,100.72,24.9,61.7
MEX,2011,3028,99.36,25.5,62.3
MEX,2012,3049,100,26,62.8
MEX,2013,3072,103.98,26.6,63.3
MEX,2014,3132,105.17,27.2,63.9
MEX,2015,3131,105.14,27.8,64.4
MEX,2016,3155,106.04,28.4,64.9
FSM,1990,,216.59,24.3,61.5
FSM,1991,,221.91,25.1,62.1
FSM,1992,,226.88,25.9,62.7
FSM,1993,,231.32,26.7,63.4
FSM,1994,,236.06,27.5,64
FSM,1995,,240.09,28.3,64.6
FSM,1996,,245.02,29,65.2
FSM,1997,,250.14,29.6,65.8
FSM,1998,,254.72,30.2,66.3
FSM,1999,,259.45,30.7,66.8
FSM,2000,,263.91,31.2,67.3
FSM,2001,,268.44,31.7,67.8
FSM,2002,,273.22,32.3,68.3
FSM,2003,,277.06,32.8,68.8
FSM,2004,,281.14,33.3,69.4
FSM,2005,,283.69,33.9,69.9
FSM,2006,,282.49,34.5,70.5
FSM,2007,,279.87,35.2,71
FSM,2008,,277.3,35.9,71.6
FSM,2009,,274.38,36.6,72.2
FSM,2010,,272,37.2,72.7
FSM,2011,,270.83,37.9,73.3
FSM,2012,,269.69,38.6,73.8
FSM,2013,,269.54,39.3,74.4
FSM,2014,,270.45,40.1,74.9
FSM,2015,,271.72,40.8,75.4
FSM,2016,,273.4,41.6,75.9
MDA,1992,2475,122.79,12.8,42.5
MDA,1993,2480,130.09,13,42.9
MDA,1994,2443,146.72,13.3,43.2
MDA,1995,2492,152.07,13.5,43.6
MDA,1996,2449,144.5,13.8,43.9
MDA,1997,2456,131.75,14,44.3
MDA,1998,2462,123.95,14.3,44.6
MDA,1999,2481,124.84,14.5,45
MDA,2000,2500,124.95,14.8,45.3
MDA,2001,2525,123.45,15,45.7
MDA,2002,2569,127.99,15.3,46
MDA,2003,2555,131.69,15.5,46.4
MDA,2004,2582,129.59,15.8,46.8
MDA,2005,2625,134.64,16.1,47.2
MDA,2006,2694,132.26,16.3,47.6
MDA,2007,2754,133.47,16.6,48
MDA,2008,2788,133.16,16.9,48.4
MDA,2009,2695,134.59,17.2,48.8
MDA,2010,2680,138.41,17.5,49.2
MDA,2011,2700,124.6,17.9,49.6
MDA,2012,2713,124.66,18.3,50
MDA,2013,2714,121.76,18.7,50.5
MDA,2014,2348,127.42,19.2,50.9
MDA,2015,2319,132.71,19.6,51.3
MDA,2016,2389,130.16,20.1,51.8
MDA,1990,,116.52,12.2,41.6
MDA,1991,,126.44,12.5,42
MNG,1990,2258,142.49,7.3,37.8
MNG,1991,2188,147.18,7.6,38.4
MNG,1992,1851,151.68,7.8,38.9
MNG,1993,1852,154.2,8,39.4
MNG,1994,1852,158.26,8.2,40
MNG,1995,2033,168.94,8.4,40.5
MNG,1996,2039,175.4,8.7,40.9
MNG,1997,2032,178.07,8.9,41.4
MNG,1998,2099,178.98,9.2,41.9
MNG,1999,2135,182.45,9.5,42.4
MNG,2000,2177,185.75,9.8,43
MNG,2001,2218,187.8,10.1,43.5
MNG,2002,2228,186.56,10.5,44.2
MNG,2003,2221,184.51,10.9,44.9
MNG,2004,2230,181.36,11.3,45.6
MNG,2005,2253,179.54,11.8,46.4
MNG,2006,2288,176.79,12.4,47.2
MNG,2007,2342,171.99,12.9,48.1
MNG,2008,2375,168.95,13.5,48.9
MNG,2009,2451,170.63,14.2,49.8
MNG,2010,2431,169.71,14.9,50.6
MNG,2011,2454,167.22,15.6,51.5
MNG,2012,2487,164.01,16.3,52.3
MNG,2013,2510,159.4,17.1,53.2
MNG,2014,2513,154.68,17.9,54
MNG,2015,2483,153.03,18.8,54.8
MNG,2016,2528,154.41,19.6,55.6
MNE,2006,3276,133.93,20.1,54.3
MNE,2007,3411,133.88,20.7,54.9
MNE,2008,3482,133.28,21.2,55.5
MNE,2009,3487,133.18,21.7,56
MNE,2010,3463,131.83,22.1,56.5
MNE,2011,3481,131.34,22.6,57
MNE,2012,3374,129.97,23.1,57.5
MNE,2013,3491,130.95,23.5,58
MNE,2014,3376,132.65,23.9,58.5
MNE,2015,3417,133.8,24.4,58.9
MNE,2016,3475,133.57,24.9,59.4
MNE,1990,,115.21,11.4,42.8
MNE,1991,,111.04,11.9,43.6
MNE,1992,,111.11,12.4,44.4
MNE,1993,,115.72,13,45.1
MNE,1994,,120.96,13.5,45.9
MNE,1995,,122.67,14.1,46.6
MNE,1996,,125.09,14.6,47.4
MNE,1997,,128.85,15.2,48.1
MNE,1998,,128.25,15.8,48.8
MNE,1999,,126.75,16.3,49.5
MNE,2000,,126.52,16.9,50.3
MNE,2001,,127.45,17.4,51
MNE,2002,,128.5,18,51.7
MNE,2003,,130.42,18.5,52.4
MNE,2004,,131.87,19.1,53
MNE,2005,,133.42,19.6,53.7
MAR,1990,3093,107.09,10.1,41.3
MAR,1991,3072,108.4,10.6,42.1
MAR,1992,2902,111.45,11,42.9
MAR,1993,2878,113.8,11.5,43.7
MAR,1994,3000,113.84,11.9,44.5
MAR,1995,2952,114.74,12.4,45.3
MAR,1996,3089,114.74,12.9,46
MAR,1997,3097,115.71,13.4,46.8
MAR,1998,3152,115.98,13.8,47.5
MAR,1999,3077,117.87,14.3,48.2
MAR,2000,3063,115.45,14.8,48.9
MAR,2001,3117,114.65,15.4,49.6
MAR,2002,3154,114.56,15.9,50.3
MAR,2003,3203,117.17,16.4,51
MAR,2004,3263,118.4,17,51.7
MAR,2005,3206,120.1,17.6,52.4
MAR,2006,3271,121.96,18.2,53.1
MAR,2007,3251,124.38,18.8,53.8
MAR,2008,3271,125.63,19.5,54.5
MAR,2009,3293,126.8,20.2,55.2
MAR,2010,3294,127.82,20.9,56
MAR,2011,3349,128.57,21.6,56.7
MAR,2012,3366,130.14,22.4,57.5
MAR,2013,3403,138.95,23.2,58.2
MAR,2014,3396,140.34,24,58.9
MAR,2015,3384,141.68,24.8,59.7
MAR,2016,3421,142.66,25.6,60.4
MOZ,1990,1808,24.86,1.8,14.1
MOZ,1991,1712,24.68,1.9,14.6
MOZ,1992,1693,24.84,2,15.1
MOZ,1993,1696,25.05,2.1,15.6
MOZ,1994,1684,25.08,2.2,16.1
MOZ,1995,1848,25.23,2.4,16.6
MOZ,1996,1940,25.71,2.5,17
MOZ,1997,1972,26.67,2.6,17.5
MOZ,1998,1987,27.75,2.8,17.9
MOZ,1999,2000,29.01,2.9,18.4
MOZ,2000,1990,30.49,3,18.8
MOZ,2001,1984,31.3,3.2,19.3
MOZ,2002,2041,33.04,3.3,19.7
MOZ,2003,2092,34.82,3.5,20.2
MOZ,2004,2059,37.19,3.7,20.6
MOZ,2005,2038,39.78,3.8,21.1
MOZ,2006,2111,42.13,4,21.5
MOZ,2007,2083,44.61,4.2,22
MOZ,2008,2164,47.53,4.3,22.5
MOZ,2009,2165,50.28,4.5,22.9
MOZ,2010,2242,53.54,4.7,23.4
MOZ,2011,2259,56.68,4.9,23.9
MOZ,2012,2298,59.83,5.1,24.4
MOZ,2013,2283,62.6,5.3,24.9
MOZ,2014,2176,64.77,5.5,25.4
MOZ,2015,2092,66.44,5.8,25.9
MOZ,2016,2059,67.64,6,26.4
MMR,1990,1696,34.19,1.1,11.1
MMR,1991,1692,34.35,1.1,11.4
MMR,1992,1693,34.52,1.2,11.8
MMR,1993,1737,34.76,1.3,12.1
MMR,1994,1715,34.97,1.3,12.5
MMR,1995,1770,35.2,1.4,12.9
MMR,1996,1788,35.47,1.5,13.2
MMR,1997,1840,35.89,1.6,13.6
MMR,1998,1837,36.47,1.7,14.1
MMR,1999,1836,37.14,1.8,14.5
MMR,2000,1910,38,1.9,15
MMR,2001,1957,39.17,2,15.4
MMR,2002,2002,40.72,2.2,15.9
MMR,2003,2057,42.59,2.3,16.5
MMR,2004,2093,44.61,2.5,17
MMR,2005,2137,46.03,2.7,17.5
MMR,2006,2207,47.84,2.9,18.1
MMR,2007,2282,49.39,3.1,18.7
MMR,2008,2372,51.07,3.3,19.3
MMR,2009,2405,52.9,3.6,19.9
MMR,2010,2500,54.07,3.8,20.6
MMR,2011,2531,55.44,4.1,21.2
MMR,2012,2565,56.53,4.4,21.9
MMR,2013,2571,58.41,4.7,22.6
MMR,2014,2653,59.93,5,23.3
MMR,2015,2683,61.51,5.4,24
MMR,2016,2728,62.91,5.7,24.8
NAM,1990,2061,95.43,5.3,22.5
NAM,1991,2068,95.66,5.5,23
NAM,1992,2034,96.89,5.7,23.5
NAM,1993,2001,98.05,5.9,24.1
NAM,1994,1997,100.52,6.2,24.7
NAM,1995,2033,103.15,6.4,25.2
NAM,1996,2037,105.5,6.7,25.8
NAM,1997,2082,109.51,6.9,26.4
NAM,1998,2065,114.86,7.2,27
NAM,1999,2165,121,7.5,27.6
NAM,2000,2246,127.08,7.8,28.2
NAM,2001,2273,127.56,8.1,28.9
NAM,2002,2215,131,8.5,29.6
NAM,2003,2247,130.95,8.9,30.3
NAM,2004,2268,128.76,9.3,31.1
NAM,2005,2243,125.69,9.7,31.8
NAM,2006,2230,121.07,10.1,32.6
NAM,2007,2218,116.86,10.6,33.4
NAM,2008,2120,113.46,11,34.2
NAM,2009,2062,111.53,11.5,35
NAM,2010,2055,110.36,12,35.8
NAM,2011,2090,107.9,12.4,36.6
NAM,2012,2145,108.28,12.9,37.4
NAM,2013,2171,109.29,13.4,38.2
NAM,2014,2369,111.4,13.9,39
NAM,2015,2427,113.51,14.5,39.8
NAM,2016,2450,115.24,15,40.6
NRU,1990,,267.35,48.4,82.5
NRU,1991,,272.2,49.1,82.8
NRU,1992,,277.9,49.7,83.1
NRU,1993,,280.7,50.3,83.4
NRU,1994,,286.59,50.9,83.6
NRU,1995,,294.58,51.5,83.9
NRU,1996,,301.87,52.1,84.2
NRU,1997,,308.38,52.6,84.4
NRU,1998,,312.46,53.1,84.7
NRU,1999,,315.36,53.6,85
NRU,2000,,316.66,54.1,85.2
NRU,2001,,321.05,54.6,85.4
NRU,2002,,322.31,55,85.7
NRU,2003,,322.41,55.5,85.9
NRU,2004,,322.09,55.9,86.1
NRU,2005,,320.62,56.4,86.3
NRU,2006,,315.39,56.8,86.5
NRU,2007,,310.3,57.3,86.8
NRU,2008,,303.2,57.7,87
NRU,2009,,296.88,58.1,87.2
NRU,2010,,290.22,58.5,87.4
NRU,2011,,286.92,58.9,87.6
NRU,2012,,287.77,59.3,87.8
NRU,2013,,288.95,59.7,88
NRU,2014,,289.58,60,88.1
NRU,2015,,291.51,60.4,88.3
NRU,2016,,294.32,60.7,88.5
NPL,1990,2185,15.25,0.7,8.9
NPL,1991,2220,15.37,0.7,9.2
NPL,1992,2228,15.51,0.8,9.5
NPL,1993,2185,15.92,0.8,9.9
NPL,1994,2253,16.17,0.9,10.2
NPL,1995,2240,16.46,0.9,10.6
NPL,1996,2216,16.67,1,11
NPL,1997,2273,17.14,1.1,11.4
NPL,1998,2244,17.66,1.2,11.8
NPL,1999,2307,18.24,1.3,12.2
NPL,2000,2257,18.9,1.4,12.7
NPL,2001,2276,19.57,1.5,13.1
NPL,2002,2279,20.42,1.6,13.6
NPL,2003,2339,21.42,1.7,14.1
NPL,2004,2374,22.57,1.8,14.5
NPL,2005,2406,23.68,1.9,15
NPL,2006,2378,24.83,2.1,15.5
NPL,2007,2429,26.07,2.2,16
NPL,2008,2490,27.32,2.4,16.5
NPL,2009,2533,28.64,2.5,17
NPL,2010,2560,30.03,2.6,17.6
NPL,2011,2614,31.73,2.8,18.1
NPL,2012,2655,33.45,3,18.7
NPL,2013,2673,35.22,3.2,19.2
NPL,2014,2714,36.68,3.3,19.8
NPL,2015,2736,38.2,3.5,20.4
NPL,2016,2777,39.29,3.8,21
NLD,1990,3280,51.84,9.4,42.3
NLD,1991,3344,51.1,9.8,42.9
NLD,1992,3315,50.43,10.2,43.6
NLD,1993,3323,50.73,10.6,44.2
NLD,1994,3236,49.56,11.1,44.9
NLD,1995,3364,48.92,11.6,45.6
NLD,1996,3374,48.36,12.1,46.3
NLD,1997,3271,47.22,12.6,47
NLD,1998,3361,46.54,13.1,47.6
NLD,1999,3283,46.32,13.6,48.3
NLD,2000,3265,45.77,14.2,48.9
NLD,2001,3254,45.16,14.7,49.6
NLD,2002,3249,44.68,15.3,50.2
NLD,2003,3141,44.08,15.9,50.9
NLD,2004,3197,41.33,16.5,51.5
NLD,2005,3231,39.44,17.1,52.1
NLD,2006,3213,37.75,17.6,52.8
NLD,2007,3237,36.12,18.2,53.3
NLD,2008,3228,35.14,18.8,53.9
NLD,2009,3213,34.15,19.4,54.5
NLD,2010,3208,33.58,19.9,55
NLD,2011,3212,32.98,20.5,55.5
NLD,2012,3225,32.74,21,56
NLD,2013,3228,32.3,21.5,56.5
NLD,2014,3213,31.73,22.1,56.9
NLD,2015,3240,31.94,22.6,57.4
NLD,2016,3241,32.07,23.1,57.8
NZL,1990,3257,66.39,16.3,51.1
NZL,1991,3196,64.93,16.8,51.8
NZL,1992,3188,64.69,17.3,52.4
NZL,1993,3229,64.5,17.9,53
NZL,1994,3168,62.71,18.5,53.7
NZL,1995,3208,63.17,19,54.3
NZL,1996,3199,61.79,19.7,54.9
NZL,1997,3223,60.29,20.3,55.5
NZL,1998,3209,58.47,20.9,56.1
NZL,1999,3187,58.33,21.6,56.7
NZL,2000,3173,56.62,22.2,57.3
NZL,2001,3117,56.2,22.9,57.9
NZL,2002,3121,55.75,23.5,58.5
NZL,2003,3120,53.96,24.1,59
NZL,2004,3157,52.47,24.7,59.6
NZL,2005,3183,50.68,25.3,60.1
NZL,2006,3151,49.5,25.9,60.7
NZL,2007,3184,48.72,26.5,61.2
NZL,2008,3205,47.73,27.1,61.7
NZL,2009,3144,46.4,27.7,62.2
NZL,2010,3139,45.24,28.3,62.7
NZL,2011,3137,44.98,28.9,63.2
NZL,2012,3127,44.35,29.5,63.7
NZL,2013,3137,43.53,30.1,64.2
NZL,2014,3148,43.65,30.7,64.6
NZL,2015,3154,43.21,31.3,65.1
NZL,2016,3150,42.98,32,65.6
NIC,1990,1734,51.66,9.7,41.2
NIC,1991,1801,57.26,10,41.9
NIC,1992,1785,57.15,10.3,42.6
NIC,1993,1849,59.25,10.7,43.2
NIC,1994,1927,60.26,11,43.9
NIC,1995,1965,76.78,11.4,44.6
NIC,1996,1976,80.88,11.7,45.3
NIC,1997,1956,78.78,12.1,45.9
NIC,1998,2068,78.43,12.5,46.6
NIC,1999,2079,80.29,12.9,47.3
NIC,2000,2133,80.76,13.3,48
NIC,2001,2301,84.56,13.7,48.6
NIC,2002,2291,89.17,14.2,49.3
NIC,2003,2319,92.13,14.6,49.9
NIC,2004,2360,94.88,15.1,50.6
NIC,2005,2400,99.03,15.6,51.2
NIC,2006,2412,93.44,16.1,51.9
NIC,2007,2471,98.45,16.6,52.5
NIC,2008,2467,100.81,17.1,53.2
NIC,2009,2473,101.07,17.6,53.8
NIC,2010,2513,100.24,18.2,54.4
NIC,2011,2543,102.17,18.8,55.1
NIC,2012,2560,103.16,19.3,55.7
NIC,2013,2638,104.29,19.9,56.3
NIC,2014,2529,105.99,20.5,56.9
NIC,2015,2530,104.73,21.2,57.6
NIC,2016,2615,107,21.8,58.2
NER,1990,2278,34.33,1.3,11.7
NER,1991,2090,34.21,1.4,12.1
NER,1992,2066,34.73,1.5,12.4
NER,1993,2037,35.22,1.5,12.7
NER,1994,1990,35.44,1.6,13
NER,1995,2059,36.05,1.7,13.3
NER,1996,2099,35.99,1.8,13.6
NER,1997,2173,36.93,1.9,14
NER,1998,2186,37.79,2,14.3
NER,1999,2217,38.76,2.1,14.6
NER,2000,2328,39.77,2.2,15
NER,2001,2341,40.73,2.3,15.4
NER,2002,2309,41.37,2.4,15.7
NER,2003,2401,41.99,2.6,16.1
NER,2004,2453,41.77,2.7,16.5
NER,2005,2444,42.1,2.8,16.9
NER,2006,2442,42.1,3,17.3
NER,2007,2461,42.2,3.1,17.7
NER,2008,2520,41.76,3.3,18.2
NER,2009,2523,41.88,3.4,18.6
NER,2010,2533,42.05,3.6,19.1
NER,2011,2534,42.58,3.8,19.5
NER,2012,2567,42.96,3.9,20
NER,2013,2547,43.35,4.1,20.5
NER,2014,2556,44.03,4.3,21
NER,2015,2566,45.42,4.5,21.5
NER,2016,2583,46.39,4.7,22
NGA,1990,2192,38.74,2,14.3
NGA,1991,2339,39.99,2.1,14.8
NGA,1992,2434,41.23,2.2,15.2
NGA,1993,2524,42.39,2.3,15.7
NGA,1994,2500,43.46,2.5,16.2
NGA,1995,2561,44.18,2.6,16.6
NGA,1996,2556,45.16,2.8,17.1
NGA,1997,2599,46.13,2.9,17.6
NGA,1998,2631,47.14,3.1,18.1
NGA,1999,2633,48.12,3.2,18.6
NGA,2000,2610,48.81,3.4,19.1
NGA,2001,2613,49.48,3.6,19.6
NGA,2002,2605,50.32,3.8,20.1
NGA,2003,2608,50.77,4,20.7
NGA,2004,2655,51.07,4.2,21.2
NGA,2005,2705,50.63,4.4,21.8
NGA,2006,2725,50.41,4.7,22.4
NGA,2007,2720,50.06,4.9,23
NGA,2008,2723,49.89,5.2,23.7
NGA,2009,2683,50.5,5.5,24.3
NGA,2010,2706,51.22,5.8,24.9
NGA,2011,2706,52.45,6.1,25.6
NGA,2012,2665,53.66,6.4,26.2
NGA,2013,2700,54.65,6.7,26.9
NGA,2014,2626,55.33,7,27.6
NGA,2015,2561,56.16,7.4,28.3
NGA,2016,2581,56.79,7.8,28.9
NIU,1990,,177.62,27,64.1
NIU,1991,,182.99,27.8,64.8
NIU,1992,,189.89,28.7,65.5
NIU,1993,,193.31,29.5,66.1
NIU,1994,,196.26,30.3,66.7
NIU,1995,,200.39,31.2,67.3
NIU,1996,,204.14,32,68
NIU,1997,,207.65,32.9,68.6
NIU,1998,,207.61,33.8,69.2
NIU,1999,,209.09,34.7,69.8
NIU,2000,,210.95,35.6,70.5
NIU,2001,,212.91,36.4,71.1
NIU,2002,,216.58,37.3,71.7
NIU,2003,,219.85,38.2,72.4
NIU,2004,,223.46,39,73
NIU,2005,,223.57,39.9,73.6
NIU,2006,,223.29,40.8,74.2
NIU,2007,,221.2,41.7,74.8
NIU,2008,,219.8,42.6,75.4
NIU,2009,,214.76,43.5,76
NIU,2010,,211.25,44.3,76.6
NIU,2011,,210.71,45.2,77.2
NIU,2012,,210.1,46,77.8
NIU,2013,,209.99,46.9,78.4
NIU,2014,,210.05,47.7,78.9
NIU,2015,,210.1,48.5,79.5
NIU,2016,,210.52,49.3,80
PRK,1990,2370,25.91,2.6,21.5
PRK,1991,2368,26.05,2.7,21.9
PRK,1992,2222,26.22,2.9,22.2
PRK,1993,2276,26.46,3,22.6
PRK,1994,2246,26.7,3.1,23
PRK,1995,2103,26.92,3.2,23.3
PRK,1996,2080,27.14,3.4,23.7
PRK,1997,2133,27.37,3.5,24.1
PRK,1998,2121,27.53,3.7,24.5
PRK,1999,2112,27.69,3.8,24.9
PRK,2000,2147,27.9,4,25.3
PRK,2001,2096,28.15,4.2,25.7
PRK,2002,2182,28.37,4.3,26.1
PRK,2003,2189,28.56,4.5,26.5
PRK,2004,2206,28.72,4.6,26.9
PRK,2005,2180,28.8,4.8,27.4
PRK,2006,2141,28.84,5,27.8
PRK,2007,2109,28.87,5.2,28.2
PRK,2008,2095,28.85,5.3,28.7
PRK,2009,2088,28.78,5.5,29.1
PRK,2010,2089,28.64,5.7,29.6
PRK,2011,2100,28.49,5.9,30
PRK,2012,2105,28.29,6.1,30.5
PRK,2013,2094,28.1,6.4,31
PRK,2014,2087,27.88,6.6,31.4
PRK,2015,2061,27.66,6.8,31.9
PRK,2016,2049,27.39,7.1,32.4
MKD,1992,2363,156.71,14.7,48
MKD,1993,2316,159.23,15.1,48.4
MKD,1994,2687,158.84,15.5,48.9
MKD,1995,2582,160.03,15.9,49.4
MKD,1996,2584,162.1,16.3,49.9
MKD,1997,2768,163.89,16.7,50.3
MKD,1998,2869,166.05,17,50.8
MKD,1999,2794,165.44,17.3,51.2
MKD,2000,2750,166.76,17.7,51.6
MKD,2001,2631,171.11,18,51.9
MKD,2002,2722,176.72,18.3,52.3
MKD,2003,2741,177.86,18.6,52.7
MKD,2004,2872,175.83,18.9,53.1
MKD,2005,2780,177.2,19.2,53.4
MKD,2006,2827,180.12,19.6,53.8
MKD,2007,3017,182.45,19.9,54.2
MKD,2008,2960,177.07,20.3,54.6
MKD,2009,2997,175.57,20.7,55
MKD,2010,2955,173.22,21.1,55.5
MKD,2011,2910,169.5,21.5,55.9
MKD,2012,2931,169.85,21.9,56.3
MKD,2013,2949,165.59,22.4,56.7
MKD,2014,2955,166.1,22.9,57.2
MKD,2015,3003,166.34,23.4,57.6
MKD,2016,3021,164.98,23.9,58.1
MKD,1990,,149.34,13.9,47
MKD,1991,,149,14.3,47.5
NOR,1990,3156,48.17,12.5,44.8
NOR,1991,3222,46.72,12.8,45.4
NOR,1992,3219,46.09,13.2,46
NOR,1993,3222,45.38,13.6,46.6
NOR,1994,3277,44.29,14.1,47.1
NOR,1995,3224,43.14,14.5,47.7
NOR,1996,3311,41.83,15,48.3
NOR,1997,3329,40.93,15.5,48.9
NOR,1998,3402,40.49,16,49.5
NOR,1999,3418,39.58,16.5,50.1
NOR,2000,3378,38.47,17.1,50.7
NOR,2001,3418,37.5,17.6,51.2
NOR,2002,3459,36.76,18.1,51.8
NOR,2003,3437,35.2,18.7,52.3
NOR,2004,3477,33.84,19.2,52.8
NOR,2005,3520,32.84,19.7,53.3
NOR,2006,3446,32.2,20.2,53.8
NOR,2007,3464,31.81,20.6,54.3
NOR,2008,3478,31.09,21.1,54.8
NOR,2009,3471,30.33,21.6,55.2
NOR,2010,3486,29.68,22,55.7
NOR,2011,3488,29.65,22.5,56.1
NOR,2012,3499,28.99,23,56.6
NOR,2013,3485,28.53,23.5,57
NOR,2014,3466,27.49,24,57.4
